timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740895891742,1646,HTTP Request,200,OK,Thread Group 1-5,text,true,,538,120,8,8,http://httpbin.org/delay/1,1641,0,314
1740895890244,3703,HTTP Request,200,OK,Thread Group 1-2,text,true,,538,120,9,9,http://httpbin.org/delay/3,3703,0,348
1740895891243,3799,HTTP Request,200,OK,Thread Group 1-4,text,true,,538,120,10,10,http://httpbin.org/delay/3,3799,0,392
1740895892741,2639,HTTP Request,200,OK,Thread Group 1-7,text,true,,538,120,10,10,http://httpbin.org/delay/2,2639,0,317
1740895890743,6886,HTTP Request,200,OK,Thread Group 1-3,text,true,,538,120,10,10,http://httpbin.org/delay/5,6886,0,1334
1740895889830,8761,HTTP Request,200,OK,Thread Group 1-1,text,true,,538,120,10,10,http://httpbin.org/delay/8,8761,0,381
1740895892241,6677,HTTP Request,200,OK,Thread Group 1-6,text,true,,538,120,10,10,http://httpbin.org/delay/6,6676,0,354
1740895893241,6657,HTTP Request,200,OK,Thread Group 1-8,text,true,,538,120,10,10,http://httpbin.org/delay/6,6657,0,318
1740895897631,3389,HTTP Request,200,OK,Thread Group 1-3,text,true,,538,120,10,10,http://httpbin.org/delay/3,3389,0,0
1740895899899,1315,HTTP Request,200,OK,Thread Group 1-8,text,true,,538,120,10,10,http://httpbin.org/delay/1,1315,0,0
1740895895381,5951,HTTP Request,200,OK,Thread Group 1-7,text,true,,538,120,10,10,http://httpbin.org/delay/5,5951,0,0
1740895893740,8631,HTTP Request,200,OK,Thread Group 1-9,text,true,,538,120,10,10,http://httpbin.org/delay/8,8631,0,311
1740895893948,8622,HTTP Request,200,OK,Thread Group 1-2,text,true,,538,120,10,10,http://httpbin.org/delay/8,8622,0,0
1740895894239,8709,HTTP Request,200,OK,Thread Group 1-10,text,true,,538,120,10,10,http://httpbin.org/delay/7,8709,0,1355
1740895893393,9695,HTTP Request,200,OK,Thread Group 1-5,text,true,,538,120,10,10,http://httpbin.org/delay/9,9695,0,0
1740895898593,5330,HTTP Request,200,OK,Thread Group 1-1,text,true,,538,120,10,10,http://httpbin.org/delay/5,5329,0,0
1740895898919,5322,HTTP Request,200,OK,Thread Group 1-6,text,true,,538,120,10,10,http://httpbin.org/delay/5,5322,0,0
1740895895042,9316,HTTP Request,200,OK,Thread Group 1-4,text,true,,538,120,10,10,http://httpbin.org/delay/9,9316,0,0
1740895903089,2364,HTTP Request,200,OK,Thread Group 1-5,text,true,,538,120,10,10,http://httpbin.org/delay/2,2364,0,0
1740895902571,3348,HTTP Request,200,OK,Thread Group 1-2,text,true,,538,120,10,10,http://httpbin.org/delay/3,3347,0,0
1740895902373,4320,HTTP Request,200,OK,Thread Group 1-9,text,true,,538,120,10,10,http://httpbin.org/delay/4,4320,0,0
1740895901021,6751,HTTP Request,200,OK,Thread Group 1-3,text,true,,538,120,10,10,http://httpbin.org/delay/6,6751,0,0
1740895905920,2355,HTTP Request,200,OK,Thread Group 1-2,text,true,,538,120,10,10,http://httpbin.org/delay/2,2355,0,0
